Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
How will KPMG get in touch with me?	After you have submitted your online application, a confirmation and thank you email will automatically be sent to you. We will mainly contact you via email or sometimes by telephone regarding the aptitude tests and interview schedule. Please ensure the email address and telephone number you provide are accurate and that the email address is one you access regularly. In some cases (for Hong Kong campus recruitment) we may contact you through your careers office. Should you have any enquiries, please contact our \n\n[local KPMG office HR hotline](https://home.kpmg/cn/en/home/careers/contact-us.html)\n\n.\n\n Please note that due to some problems with certain email servers, emails from KPMG may be blocked or treated as spam. We have tested the email addresses with the following accounts and have confirmed that they can receive emails:\n\n  • Beijing: QQ, Hotmail and Gmail.\n\n  • Shanghai: QQ, Hotmail, and Yahoo.\n\n  • Guangzhou, Shenzhen and Fuzhou: QQ, 163 and 126.\n\n \n\n[back to top](#top)\n\n ## Assessment tests	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:application	[]	false	[]	14
Why does KPMG use assessment tests as a selection method?	An assessment test measures the ability to acquire further knowledge or skills in a specific area. KPMG asks you to sit this test to ensure that all candidates are treated EQUALLY. It will give us a fair and objective assessment of a candidate in numerical, verbal, logical reasoning and situational judgement ability. The test has proved extremely reliable and valid. It assesses abilities relevant for the post for which you have applied; research shows those who did well in the tests were high performers in their future work. We also find that we gain information from these tests which cannot accurately be gained from other parts of the selection process, such as the interview.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:assessment	[]	false	[]	15
What is the assessment test about?	The test consists of four parts: verbal reasoning, numerical reasoning, deductive-logical thinking and situational judgement tests.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:assessment	[]	false	[]	16
What are the numerical, verbal reasoning, deductive-logical thinking and situational judgement tests assessing?	The numerical reasoning tests are designed to measure your ability to make correct decisions or inferences from numerical or statistical data. The tests are intended to measure a candidate's ability to cope with figures in a practical and realistic context.\n\n The verbal reasoning tests are designed not only to measure the application of English ability in a realistic context, but also to measure the ability to evaluate the logic of various kinds of arguments.\n\n The deductive-logical thinking tests are designed to measure your problem solving and decision making skills.\n\nThe situational judgement tests present candidates with realistic, hypothetical and challenging situations that employees might encounter at work.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:assessment	[]	false	[]	17
What methods does KPMG use to score candidates? Do you count the rate of right and wrong answers? Will marks be deducted for wrong answers?	Unfortunately our scoring methodology is confidential. Try not to worry about this when taking the test – just relax and do your best.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:assessment	[]	false	[]	18
When will the assessment test be arranged?	The assessment tests will be in online assessment format. Detailed test arrangements will be sent to you by email or by telephone.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:assessment	[]	false	[]	19
Will I be notified if I am not successful in my application?	Please note that there will be no email notification if you were not short-listed for our assessment tests.\n\n Please find the \n\n[Mock Assessment Test here](http://kpmg.com.cn/external/mocktest/)\n\n.\n\n \n\n[back to top](#top)\n\n## Interviews	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:assessment	[]	false	[]	20
When do interviews take place?	Those who are successful in the aptitude tests will be invited to attend the assessment centre.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:interviews	[]	false	[]	21
How long will it take me to get the results of my interview?	Normally, you can expect the result in one to three weeks.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:interviews	[]	false	[]	22
What should I wear for the interviews?	You should wear formal business attire. This refers to business suits for both males and females. Shirts and knee-length skirts are also acceptable for females. Deep colors are preferable. Revealing clothing and extravagant accessories are discouraged.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:interview	[]	false	[]	23
If I cannot attend the test/interview at the scheduled time, can I have a different slot?	If you must reschedule, please give us as much notice as you can – we will be happy to set a new interview time for candidates who can provide valid reasons.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:interviews	[]	false	[]	24
How should I prepare for the interview?	The most important thing is to be yourself. It is normal to be nervous, but try to get a good night's sleep beforehand and relax as much as you can. Make sure that you prepare for the interview – research KPMG and understand our values and think of how you currently live these values. The interview is not a trick – we want you to be successful!\n\n \n\n[back to top](#top)\n\n ## The offer stage	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:interviews	[]	false	[]	25
When can I expect an offer?	KPMG’s HR Department will typically send out final offers after all second-round interviews are completed.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:offer	[]	false	[]	26
How will I receive my offer?	Successful candidates will typically receive a formal offer in writing, by email or SMS. Please note that we do not usually make verbal offers over the phone.\n\n \n\n[back to top](#top)\n\n ## Starting your new job	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:offer	[]	false	[]	27
How will I be allocated to a department?	You will be placed in a specific department depending on a number of different factors such as your degree/qualifications, graduation dates and skill sets in order to maintain a balance between departments. While we always try to accommodate any specific requests, the final allocation will be subject to department requirements.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:start	[]	false	[]	28
What kind of training courses will be provided after I join KPMG?	KPMG understands the importance of training and personal development, so every staff member will dedicate a certain amount of time in training every year. As a new graduate joiner, you will attend our KPMG Academy Induction Programme, which normally lasts for 1-2 months. The programme covers both orientation and technical training.\n\nAlso, KPMG encourages all professional staff to obtain the most appropriate professional qualification to enable them to perform their work effectively. Therefore examination assistance, such as study leave, exam leave and exam training, is also provided.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:start	[]	false	[]	29
How can I register for the relevant Certified Public Accountancy qualification?	The KPMG Training Department will contact you for registration and answer your questions regarding your professional qualification.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:start	[]	false	[]	30
What kind of compensation and benefits will I receive at KPMG?	KPMG believes employees are the most important investment for success and our comprehensive compensation and benefits programme reflects this. The programme's purpose is to attract, retain and reward the people responsible for the company's long-term growth and profitability. You may be interested in finding out more on the rest of our \n\n[careers website](https://home.kpmg/cn/en/home/careers/why-kpmg/your-well-being.html)\n\n.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:start	[]	false	[]	31
compensation and benefits?	KPMG believes employees are the most important investment for success and our comprehensive compensation and benefits programme reflects this. The programme's purpose is to attract, retain and reward the people responsible for the company's long-term growth and profitability. You may be interested in finding out more on the rest of our \n\n[careers website](https://home.kpmg/cn/en/home/careers/why-kpmg/your-well-being.html)\n\n.	https://home.kpmg/cn/en/home/careers/graduates/faqs-general-questions.html	type:start	[]	false	[]	31
